site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
HIKB 03MAY17 2003.3730 52776 1218 6  178.3    296  0.223768  -4158776 -0.901918   107  0.293895  0.0550 0.000728 0.000853 0.002818  0.021338  0.054895  0.167348 -37.5610406809 -181.6966472855   107.29389
HIKB 03MAY18 2003.3758 52777 1219 0  178.3    296  0.222737  -4158776 -0.899884   107  0.292402  0.0550 0.000728 0.000842 0.002813  0.010177  0.060959  0.142553 -37.5610406625 -181.6966472972   107.29240
HIKB 03MAY19 2003.3785 52778 1219 1  178.3    296  0.223958  -4158776 -0.903087   107  0.284664  0.0550 0.000749 0.000875 0.003044 -0.000664  0.026416  0.204716 -37.5610406914 -181.6966472834   107.28466
HIKB 03MAY20 2003.3812 52779 1219 2  178.3    296  0.223125  -4158776 -0.905049   107  0.288226  0.0550 0.000757 0.000879 0.003058  0.014281  0.058044  0.191007 -37.5610407091 -181.6966472928   107.28823
HIKB 03MAY21 2003.3840 52780 1219 3  178.3    296  0.223872  -4158776 -0.901903   107  0.292918  0.0550 0.000759 0.000861 0.003015  0.040454  0.058344  0.161030 -37.5610406807 -181.6966472843   107.29292
HIKB 03MAY22 2003.3867 52781 1219 4  178.3    296  0.220454  -4158776 -0.900118   107  0.294179  0.0550 0.000751 0.000864 0.002995  0.011670  0.076790  0.183421 -37.5610406647 -181.6966473230   107.29418
HIKB 03MAY23 2003.3895 52782 1219 5  178.3    296  0.221459  -4158776 -0.900581   107  0.290679  0.0550 0.000731 0.000843 0.002814  0.024560  0.050817  0.133035 -37.5610406688 -181.6966473116   107.29068
HIKB 03MAY24 2003.3922 52783 1219 6  178.3    296  0.222958  -4158776 -0.900334   107  0.295133  0.0550 0.000743 0.000841 0.002939  0.031485  0.109903  0.168145 -37.5610406666 -181.6966472947   107.29513
HIKB 03MAY25 2003.3949 52784 1220 0  178.3    296  0.221764  -4158776 -0.898460   107  0.295168  0.0550 0.000726 0.000846 0.002878  0.006851  0.026941  0.174491 -37.5610406497 -181.6966473082   107.29517
HIKB 03MAY26 2003.3977 52785 1220 1  178.3    296  0.218846  -4158776 -0.899878   107  0.299828  0.0550 0.000731 0.000843 0.002837  0.034659  0.072099  0.128953 -37.5610406625 -181.6966473412   107.29983
HIKB 03MAY27 2003.4004 52786 1220 2  178.3    296  0.224360  -4158776 -0.898663   107  0.298735  0.0550 0.000750 0.000878 0.002980  0.069538  0.101389  0.163559 -37.5610406515 -181.6966472788   107.29873
HIKB 03MAY28 2003.4031 52787 1220 3  178.3    296  0.225078  -4158776 -0.898929   107  0.299911  0.0550 0.000767 0.000890 0.003018  0.078950  0.077547  0.154818 -37.5610406539 -181.6966472707   107.29991
HIKB 03MAY29 2003.4059 52788 1220 4  178.3    296  0.222133  -4158776 -0.897565   107  0.293794  0.0550 0.000776 0.000906 0.003076  0.090795  0.108829  0.151922 -37.5610406417 -181.6966473040   107.29379
HIKB 03MAY30 2003.4086 52789 1220 5  178.3    296  0.228738  -4158776 -0.901339   107  0.289735  0.0550 0.000772 0.000868 0.003047  0.039851  0.112835  0.170691 -37.5610406757 -181.6966472293   107.28974
HIKB 03MAY31 2003.4114 52790 1220 6  178.3    296  0.222845  -4158776 -0.902781   107  0.295794  0.0550 0.000718 0.000830 0.002780  0.017150  0.039137  0.177575 -37.5610406887 -181.6966472960   107.29579
HIKB 03JUN01 2003.4141 52791 1221 0  178.3    296  0.223418  -4158776 -0.901487   107  0.293956  0.0550 0.000726 0.000846 0.002791  0.048078  0.077482  0.143401 -37.5610406770 -181.6966472895   107.29396
HIKB 03JUN02 2003.4168 52792 1221 1  178.3    296  0.220658  -4158776 -0.901989   107  0.292540  0.0550 0.000777 0.000873 0.002898  0.098859  0.091635  0.163436 -37.5610406815 -181.6966473207   107.29254
HIKB 03JUN03 2003.4196 52793 1221 2  178.3    296  0.222141  -4158776 -0.901118   107  0.290850  0.0550 0.000786 0.000958 0.003102 -0.004662  0.085435  0.163984 -37.5610406737 -181.6966473039   107.29085
HIKB 03JUN04 2003.4223 52794 1221 3  178.3    296  0.220541  -4158776 -0.901777   107  0.292146  0.0550 0.000823 0.000924 0.003150  0.050499  0.082095  0.212513 -37.5610406796 -181.6966473220   107.29215
HIKB 03JUN05 2003.4251 52795 1221 4  178.3    296  0.217402  -4158776 -0.904774   107  0.292592  0.0550 0.000828 0.000932 0.003269  0.010129  0.077903  0.244573 -37.5610407066 -181.6966473576   107.29259
HIKB 03JUN06 2003.4278 52796 1221 5  178.3    296  0.218790  -4158776 -0.904206   107  0.282389  0.0550 0.000854 0.000977 0.003466  0.014679  0.076900  0.201268 -37.5610407015 -181.6966473419   107.28239
HIKB 03JUN07 2003.4305 52797 1221 6  178.3    296  0.219357  -4158776 -0.901704   107  0.295828  0.0550 0.000802 0.000911 0.003178 -0.005427  0.057409  0.222672 -37.5610406789 -181.6966473354   107.29583
HIKB 03JUN08 2003.4333 52798 1222 0  178.3    296  0.220668  -4158776 -0.900333   107  0.293192  0.0550 0.000822 0.000920 0.003167  0.027756  0.082927  0.187960 -37.5610406666 -181.6966473206   107.29319
HIKB 03JUN09 2003.4360 52799 1222 1  178.3    296  0.221064  -4158776 -0.903044   107  0.290013  0.0550 0.000857 0.000936 0.003345 -0.006402  0.047690  0.228064 -37.5610406910 -181.6966473161   107.29001
HIKB 03JUN10 2003.4387 52800 1222 2  178.3    296  0.226069  -4158776 -0.902666   107  0.294559  0.0550 0.000759 0.000913 0.002974  0.062912  0.054360  0.150111 -37.5610406876 -181.6966472595   107.29456
HIKB 03JUN11 2003.4415 52801 1222 3  178.3    296  0.221229  -4158776 -0.905802   107  0.283494  0.0550 0.000802 0.000910 0.003219  0.019713  0.102939  0.185748 -37.5610407159 -181.6966473142   107.28349
HIKB 03JUN12 2003.4442 52802 1222 4  178.3    296  0.225444  -4158776 -0.899700   107  0.298912  0.0550 0.000801 0.000926 0.003191  0.007506  0.101120  0.195467 -37.5610406609 -181.6966472665   107.29891
HIKB 03JUN13 2003.4470 52803 1222 5  178.3    296  0.222106  -4158776 -0.897140   107  0.294953  0.0550 0.000789 0.000887 0.002995 -0.002953  0.053226  0.214678 -37.5610406378 -181.6966473043   107.29495
HIKB 03JUN14 2003.4497 52804 1222 6  178.3    296  0.222898  -4158776 -0.900737   107  0.295363  0.0550 0.000784 0.000905 0.003132  0.022750  0.059927  0.178177 -37.5610406702 -181.6966472954   107.29536
HIKB 03JUN15 2003.4524 52805 1223 0  178.3    296  0.221895  -4158776 -0.900978   107  0.295886  0.0550 0.000802 0.000931 0.003252  0.031487  0.096346  0.190572 -37.5610406724 -181.6966473067   107.29589
HIKB 03JUN16 2003.4552 52806 1223 1  178.3    296  0.219525  -4158776 -0.902374   107  0.284524  0.0550 0.000815 0.000970 0.003442 -0.000995  0.054837  0.228261 -37.5610406850 -181.6966473335   107.28452
HIKB 03JUN17 2003.4579 52807 1223 2  178.3    296  0.223373  -4158776 -0.897059   107  0.291194  0.0550 0.000828 0.000979 0.003361  0.059168  0.083734  0.122915 -37.5610406371 -181.6966472900   107.29119
HIKB 03JUN18 2003.4606 52808 1223 3  178.3    296  0.222009  -4158776 -0.901972   107  0.288852  0.0550 0.000782 0.000920 0.003200  0.050355  0.104410  0.122579 -37.5610406814 -181.6966473054   107.28885
HIKB 03JUN19 2003.4634 52809 1223 4  178.3    296  0.223215  -4158776 -0.896666   107  0.300833  0.0550 0.000787 0.000911 0.003207  0.033178  0.094059  0.167452 -37.5610406336 -181.6966472918   107.30083
HIKB 03JUN20 2003.4661 52810 1223 5  178.3    296  0.221355  -4158776 -0.899959   107  0.295087  0.0550 0.000795 0.000916 0.003216  0.031587  0.132186  0.178673 -37.5610406632 -181.6966473128   107.29509
HIKB 03JUN21 2003.4689 52811 1223 6  178.3    296  0.221862  -4158776 -0.900455   107  0.296677  0.0550 0.000786 0.000943 0.003180  0.040301  0.087107  0.178067 -37.5610406677 -181.6966473071   107.29668
