site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
NPLY 03MAR21 2003.2170 52719 1210 5  174.1   1570  0.289465  -4338770 -0.859424   416  0.949150  0.0550 0.000806 0.001018 0.003091  0.039427  0.015722  0.093331 -39.1825561302 -185.8818260603   416.94915
NPLY 03MAR22 2003.2197 52720 1210 6  174.1   1570  0.293890  -4338770 -0.860454   416  0.954952  0.0550 0.000734 0.000894 0.002804  0.042037  0.040778  0.098400 -39.1825561394 -185.8818260091   416.95495
NPLY 03MAR23 2003.2225 52721 1211 0  174.1   1570  0.292199  -4338770 -0.860945   416  0.949142  0.0550 0.000717 0.000871 0.002762  0.006145  0.017632  0.105404 -39.1825561439 -185.8818260287   416.94914
NPLY 03MAR24 2003.2252 52722 1211 1  174.1   1570  0.290650  -4338770 -0.859299   416  0.948029  0.0550 0.000720 0.000861 0.002768  0.009361  0.008148  0.124445 -39.1825561290 -185.8818260466   416.94803
NPLY 03MAR25 2003.2279 52723 1211 2  174.1   1570  0.292593  -4338770 -0.858161   416  0.946963  0.0550 0.000748 0.000919 0.002910  0.014720  0.011204  0.109194 -39.1825561188 -185.8818260242   416.94696
NPLY 03MAR26 2003.2307 52724 1211 3  174.1   1570  0.293524  -4338770 -0.859337   416  0.955905  0.0550 0.000729 0.000880 0.002870  0.005784  0.006487  0.119521 -39.1825561294 -185.8818260134   416.95591
NPLY 03MAR27 2003.2334 52725 1211 4  174.1   1570  0.294842  -4338770 -0.862525   416  0.934156  0.0550 0.000758 0.000939 0.002983  0.045940  0.056001  0.102175 -39.1825561581 -185.8818259981   416.93416
NPLY 03MAR28 2003.2361 52726 1211 5  174.1   1570  0.296531  -4338770 -0.859040   416  0.940499  0.0550 0.000743 0.000913 0.002926  0.022253  0.036425  0.119206 -39.1825561267 -185.8818259786   416.94050
NPLY 03MAR29 2003.2389 52727 1211 6  174.1   1570  0.293725  -4338770 -0.860088   416  0.940949  0.0550 0.000766 0.000925 0.002967  0.066388  0.080899  0.121480 -39.1825561361 -185.8818260110   416.94095
NPLY 03MAR30 2003.2416 52728 1212 0  174.1   1570  0.294419  -4338770 -0.857809   416  0.946408  0.0550 0.000774 0.000920 0.003076 -0.004303 -0.014243  0.130894 -39.1825561156 -185.8818260030   416.94641
NPLY 03MAR31 2003.2444 52729 1212 1  174.1   1570  0.293230  -4338770 -0.860804   416  0.943532  0.0550 0.000739 0.000889 0.002935  0.007862  0.004684  0.141214 -39.1825561426 -185.8818260168   416.94353
NPLY 03APR01 2003.2471 52730 1212 2  174.1   1570  0.292528  -4338770 -0.860598   416  0.936636  0.0550 0.000750 0.000899 0.002920  0.044117  0.015641  0.134770 -39.1825561407 -185.8818260249   416.93664
NPLY 03APR02 2003.2498 52731 1212 3  174.1   1570  0.293909  -4338770 -0.859295   416  0.952106  0.0550 0.000717 0.000884 0.002773  0.010724  0.013439  0.113430 -39.1825561290 -185.8818260089   416.95211
NPLY 03APR03 2003.2526 52732 1212 4  174.1   1570  0.294344  -4338770 -0.859020   416  0.943018  0.0550 0.000730 0.000903 0.002861  0.003546  0.022495  0.122261 -39.1825561265 -185.8818260039   416.94302
NPLY 03APR04 2003.2553 52733 1212 5  174.1   1570  0.292205  -4338770 -0.860103   416  0.952217  0.0550 0.000734 0.000895 0.002871 -0.003825  0.028611  0.122811 -39.1825561363 -185.8818260286   416.95222
