site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
LYTT 99NOV15 1999.8713 51497 1036 1  172.7   1794  0.242015  -4830028 -0.335252    18  0.444005  0.0010 0.000793 0.001092 0.003523  0.111273 -0.049330 -0.146236 -43.6058440558 -187.2777762279    18.44401
LYTT 99NOV16 1999.8741 51498 1036 2  172.7   1794  0.249164  -4830028 -0.337951    18  0.464855  0.0010 0.000844 0.001126 0.003713  0.158057 -0.088219 -0.170061 -43.6058440801 -187.2777761394    18.46486
LYTT 99NOV17 1999.8768 51499 1036 3  172.7   1794  0.244675  -4830028 -0.335268    18  0.449199  0.0010 0.000773 0.001049 0.003409  0.063949 -0.118740 -0.139851 -43.6058440559 -187.2777761950    18.44920
LYTT 99NOV18 1999.8795 51500 1036 4  172.7   1794  0.249067  -4830028 -0.331884    18  0.444311  0.0010 0.000785 0.001085 0.003472  0.090306 -0.132200 -0.174210 -43.6058440255 -187.2777761406    18.44431
LYTT 99NOV19 1999.8823 51501 1036 5  172.7   1794  0.249476  -4830028 -0.329393    18  0.446959  0.0010 0.000767 0.001077 0.003445  0.097090 -0.153541 -0.167633 -43.6058440031 -187.2777761355    18.44696
LYTT 99NOV22 1999.8905 51504 1037 1  172.7   1794  0.245172  -4830028 -0.330669    18  0.444843  0.0010 0.000734 0.001013 0.003272  0.045437 -0.114364 -0.151767 -43.6058440145 -187.2777761888    18.44484
LYTT 99NOV23 1999.8932 51505 1037 2  172.7   1794  0.247201  -4830028 -0.328135    18  0.452474  0.0010 0.000773 0.001071 0.003396  0.112767 -0.080940 -0.165256 -43.6058439917 -187.2777761637    18.45247
LYTT 99NOV24 1999.8960 51506 1037 3  172.7   1794  0.245493  -4830028 -0.331954    18  0.443647  0.0010 0.000797 0.001123 0.003541  0.127687 -0.098561 -0.163181 -43.6058440261 -187.2777761849    18.44365
LYTT 99NOV25 1999.8987 51507 1037 4  172.7   1794  0.242125  -4830028 -0.328602    18  0.436543  0.0010 0.000799 0.001115 0.003640  0.083832 -0.131890 -0.185605 -43.6058439959 -187.2777762266    18.43654
LYTT 99DEC03 1999.9206 51515 1038 5  172.7   1794  0.242393  -4830028 -0.333428    18  0.448702  0.0010 0.000761 0.001025 0.003320  0.094435 -0.079938 -0.155785 -43.6058440394 -187.2777762232    18.44870
LYTT 99DEC06 1999.9288 51518 1039 1  172.7   1794  0.241433  -4830028 -0.333660    18  0.442669  0.0010 0.000768 0.001034 0.003400  0.039739 -0.120361 -0.140224 -43.6058440415 -187.2777762351    18.44267
LYTT 99DEC07 1999.9316 51519 1039 2  172.7   1794  0.243980  -4830028 -0.332670    18  0.435192  0.0010 0.000743 0.001015 0.003325  0.058868 -0.145495 -0.159026 -43.6058440326 -187.2777762036    18.43519
LYTT 99DEC08 1999.9343 51520 1039 3  172.7   1794  0.243275  -4830028 -0.329276    18  0.446063  0.0010 0.000828 0.001086 0.003606  0.008914 -0.147312 -0.096164 -43.6058440020 -187.2777762123    18.44606
LYTT 00FEB05 2000.0958 51579 1047 6  172.7   1794  0.241367  -4830028 -0.321571    18  0.441206  0.0010 0.001573 0.002089 0.006835 -0.028021 -0.152558 -0.123712 -43.6058439327 -187.2777762360    18.44121
LYTT 00MAR15 2000.2026 51618 1053 3  172.7   1794  0.237344  -4830028 -0.323681    18  0.446695  0.0010 0.001635 0.002259 0.007751 -0.011764 -0.228615 -0.123434 -43.6058439516 -187.2777762858    18.44670
LYTT 00MAR19 2000.2136 51622 1054 0  172.7   1794  0.237392  -4830028 -0.320207    18  0.448659  0.0010 0.000792 0.001045 0.003443  0.035028 -0.079649 -0.148144 -43.6058439204 -187.2777762852    18.44866
LYTT 00MAR20 2000.2163 51623 1054 1  172.7   1794  0.233856  -4830028 -0.319585    18  0.449740  0.0010 0.000860 0.001187 0.003846  0.004007 -0.106222 -0.130245 -43.6058439148 -187.2777763290    18.44974
LYTT 00MAR21 2000.2190 51624 1054 2  172.7   1794  0.233831  -4830028 -0.317691    18  0.455237  0.0010 0.000821 0.001115 0.003697  0.003332 -0.099505 -0.149502 -43.6058438977 -187.2777763294    18.45524
LYTT 00MAR22 2000.2218 51625 1054 3  172.7   1794  0.234490  -4830028 -0.321926    18  0.448392  0.0010 0.000814 0.001097 0.003627  0.011324 -0.100954 -0.144654 -43.6058439358 -187.2777763212    18.44839
LYTT 00MAR23 2000.2245 51626 1054 4  172.7   1794  0.238495  -4830028 -0.318716    18  0.433356  0.0010 0.000814 0.001115 0.003672  0.029044 -0.075787 -0.170712 -43.6058439070 -187.2777762716    18.43336
