site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
WGTN 96MAY23 1996.3915 50226  854 4  174.8    493  0.559776  -4576495 -0.595489    26  0.058372  0.0017 0.000880 0.001082 0.003623 -0.026654 -0.024847  0.133934 -41.3234581595 -185.1941048151    26.05837
WGTN 96MAY24 1996.3943 50227  854 5  174.8    493  0.553487  -4576495 -0.590526    26  0.065553  0.0017 0.000916 0.001124 0.003908 -0.083089 -0.046577  0.101964 -41.3234581148 -185.1941048902    26.06555
WGTN 96MAY25 1996.3970 50228  854 6  174.8    493  0.554104  -4576495 -0.591321    26  0.058996  0.0017 0.000890 0.001116 0.003777 -0.066396 -0.042533  0.133177 -41.3234581220 -185.1941048829    26.05900
WGTN 96MAY26 1996.3997 50229  855 0  174.8    493  0.560362  -4576495 -0.590801    26  0.065604  0.0017 0.000870 0.001056 0.003529 -0.049491 -0.039960  0.118131 -41.3234581173 -185.1941048081    26.06560
WGTN 96MAY27 1996.4025 50230  855 1  174.8    493  0.556336  -4576495 -0.592344    26  0.066216  0.0017 0.000877 0.001078 0.003628 -0.041817 -0.040333  0.123004 -41.3234581312 -185.1941048562    26.06622
WGTN 96MAY29 1996.4079 50232  855 3  174.8    493  0.554824  -4576495 -0.591771    26  0.064056  0.0017 0.000942 0.001149 0.003922 -0.006451 -0.001091  0.125124 -41.3234581260 -185.1941048743    26.06406
WGTN 96MAY30 1996.4107 50233  855 4  174.8    493  0.551761  -4576495 -0.584389    26  0.072105  0.0017 0.000894 0.001094 0.003755 -0.017986  0.029672  0.156672 -41.3234580596 -185.1941049109    26.07211
WGTN 96MAY31 1996.4134 50234  855 5  174.8    493  0.554445  -4576495 -0.591075    26  0.060178  0.0017 0.000868 0.001099 0.003702 -0.053967 -0.039615  0.116122 -41.3234581198 -185.1941048788    26.06018
WGTN 96JUN01 1996.4162 50235  855 6  174.8    493  0.555333  -4576495 -0.590647    26  0.047873  0.0017 0.000894 0.001126 0.003857 -0.060495 -0.061570  0.183813 -41.3234581159 -185.1941048682    26.04787
WGTN 96JUN02 1996.4189 50236  856 0  174.8    493  0.551999  -4576495 -0.590252    26  0.056756  0.0017 0.000871 0.001066 0.003562 -0.036057 -0.016627  0.114935 -41.3234581123 -185.1941049080    26.05676
WGTN 96JUN03 1996.4216 50237  856 1  174.8    493  0.546732  -4576495 -0.590976    26  0.064363  0.0017 0.000911 0.001089 0.003709 -0.009444 -0.034049  0.094679 -41.3234581189 -185.1941049709    26.06436
WGTN 96JUN04 1996.4244 50238  856 2  174.8    493  0.551257  -4576495 -0.592432    26  0.065572  0.0017 0.000873 0.001094 0.003594 -0.059395 -0.042152  0.117672 -41.3234581320 -185.1941049169    26.06557
WGTN 96JUN05 1996.4271 50239  856 3  174.8    493  0.555803  -4576495 -0.592970    26  0.059110  0.0017 0.000918 0.001159 0.003912 -0.003566 -0.032664  0.172021 -41.3234581368 -185.1941048626    26.05911
WGTN 96JUN06 1996.4298 50240  856 4  174.8    493  0.550936  -4576495 -0.594241    26  0.051054  0.0017 0.001076 0.001291 0.004420 -0.046565 -0.001096  0.096558 -41.3234581483 -185.1941049207    26.05105
