site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PAEK 00APR11 2000.2765 51645 1057 2  175.0  -4030 -0.352639  -4542990 -0.516098   443  0.234238  0.0002 0.000811 0.001023 0.003181  0.018557  0.033213  0.156375 -41.0217661895 -185.0479190631   443.23424
PAEK 00APR12 2000.2793 51646 1057 3  175.0  -4030 -0.351039  -4542990 -0.517668   443  0.226460  0.0002 0.000763 0.000973 0.002934 -0.069841 -0.040462  0.131501 -41.0217662036 -185.0479190440   443.22646
PAEK 00APR13 2000.2820 51647 1057 4  175.0  -4030 -0.349663  -4542990 -0.518589   443  0.227995  0.0002 0.000763 0.000979 0.002965 -0.057669 -0.020219  0.135439 -41.0217662119 -185.0479190277   443.22800
PAEK 00APR14 2000.2847 51648 1057 5  175.0  -4030 -0.354419  -4542990 -0.515953   443  0.232802  0.0002 0.001050 0.001255 0.003905 -0.130418 -0.085735  0.158203 -41.0217661882 -185.0479190842   443.23280
PAEK 00APR15 2000.2875 51649 1057 6  175.0  -4030 -0.351022  -4542990 -0.517656   443  0.233712  0.0002 0.000752 0.000965 0.003020 -0.024468 -0.049094  0.157057 -41.0217662035 -185.0479190438   443.23371
PAEK 00APR16 2000.2902 51650 1058 0  175.0  -4030 -0.349064  -4542990 -0.519482   443  0.230985  0.0002 0.000745 0.000971 0.003026 -0.032772 -0.004517  0.113676 -41.0217662200 -185.0479190206   443.23098
PAEK 00APR17 2000.2930 51651 1058 1  175.0  -4030 -0.351011  -4542990 -0.519849   443  0.234702  0.0002 0.000733 0.000949 0.002933 -0.033994 -0.064886  0.135820 -41.0217662233 -185.0479190437   443.23470
PAEK 00APR18 2000.2957 51652 1058 2  175.0  -4030 -0.353441  -4542990 -0.516719   443  0.235512  0.0002 0.001016 0.001235 0.003826 -0.092143 -0.092778  0.128146 -41.0217661951 -185.0479190726   443.23551
PAEK 00APR23 2000.3094 51657 1059 0  175.0  -4030 -0.354074  -4542990 -0.520357   443  0.222431  0.0002 0.000884 0.001151 0.003487  0.071096  0.047926  0.115394 -41.0217662279 -185.0479190802   443.22243
PAEK 00APR24 2000.3121 51658 1059 1  175.0  -4030 -0.357701  -4542990 -0.516805   443  0.221073  0.0002 0.000813 0.001050 0.003277  0.049023  0.034854  0.148949 -41.0217661959 -185.0479191232   443.22107
PAEK 00APR25 2000.3149 51659 1059 2  175.0  -4030 -0.354703  -4542990 -0.509874   443  0.225507  0.0002 0.000733 0.000952 0.002964 -0.020255 -0.061420  0.106676 -41.0217661335 -185.0479190876   443.22551
PAEK 00APR26 2000.3176 51660 1059 3  175.0  -4030 -0.353099  -4542990 -0.512858   443  0.224143  0.0002 0.000721 0.000935 0.002884 -0.013085 -0.039569  0.101692 -41.0217661603 -185.0479190685   443.22414
PAEK 00APR27 2000.3203 51661 1059 4  175.0  -4030 -0.352039  -4542990 -0.516641   443  0.218283  0.0002 0.000713 0.000937 0.002877 -0.019431 -0.022410  0.104091 -41.0217661944 -185.0479190559   443.21828
PAEK 00APR28 2000.3231 51662 1059 5  175.0  -4030 -0.351328  -4542990 -0.515218   443  0.220677  0.0002 0.000714 0.000939 0.002922 -0.030295 -0.048305  0.121293 -41.0217661816 -185.0479190475   443.22068
PAEK 00APR29 2000.3258 51663 1059 6  175.0  -4030 -0.350773  -4542990 -0.515007   443  0.224264  0.0002 0.000717 0.000945 0.002914 -0.039906 -0.041951  0.119492 -41.0217661797 -185.0479190409   443.22426
PAEK 00APR30 2000.3285 51664 1060 0  175.0  -4030 -0.351452  -4542990 -0.519269   443  0.222883  0.0002 0.000717 0.000952 0.002931 -0.037451 -0.040996  0.096932 -41.0217662181 -185.0479190490   443.22288
PAEK 00MAY01 2000.3313 51665 1060 1  175.0  -4030 -0.350154  -4542990 -0.516101   443  0.213060  0.0002 0.000722 0.000949 0.002921 -0.026865 -0.061427  0.081675 -41.0217661895 -185.0479190335   443.21306
PAEK 00MAY02 2000.3340 51666 1060 2  175.0  -4030 -0.352049  -4542990 -0.512089   443  0.226476  0.0002 0.000790 0.001036 0.003175  0.055577  0.004384  0.092980 -41.0217661534 -185.0479190560   443.22648
PAEK 00MAY03 2000.3368 51667 1060 3  175.0  -4030 -0.350863  -4542990 -0.512712   443  0.224393  0.0002 0.000771 0.001013 0.003062  0.017652 -0.003629  0.090508 -41.0217661590 -185.0479190419   443.22439
PAEK 00MAY04 2000.3395 51668 1060 4  175.0  -4030 -0.351182  -4542990 -0.513902   443  0.227371  0.0002 0.000745 0.000983 0.003093 -0.045996 -0.039325  0.106043 -41.0217661697 -185.0479190457   443.22737
PAEK 00MAY05 2000.3422 51669 1060 5  175.0  -4030 -0.351198  -4542990 -0.510808   443  0.223973  0.0002 0.000714 0.000947 0.002911 -0.008565  0.001606  0.121121 -41.0217661419 -185.0479190459   443.22397
PAEK 00MAY06 2000.3450 51670 1060 6  175.0  -4030 -0.349143  -4542990 -0.515644   443  0.230799  0.0002 0.000726 0.000965 0.003010 -0.015297 -0.044793  0.147770 -41.0217661854 -185.0479190215   443.23080
PAEK 00MAY07 2000.3477 51671 1061 0  175.0  -4030 -0.353345  -4542990 -0.509583   443  0.232045  0.0002 0.000737 0.000980 0.003076 -0.020684 -0.025985  0.133051 -41.0217661308 -185.0479190714   443.23205
PAEK 00MAY08 2000.3504 51672 1061 1  175.0  -4030 -0.351540  -4542990 -0.509058   443  0.220085  0.0002 0.000708 0.000934 0.002833 -0.023127 -0.026949  0.088861 -41.0217661261 -185.0479190499   443.22008
PAEK 00MAY09 2000.3532 51673 1061 2  175.0  -4030 -0.351187  -4542990 -0.515154   443  0.220336  0.0002 0.000717 0.000945 0.002887 -0.015338 -0.025094  0.085508 -41.0217661810 -185.0479190458   443.22034
PAEK 00MAY10 2000.3559 51674 1061 3  175.0  -4030 -0.351199  -4542990 -0.510901   443  0.221793  0.0002 0.000710 0.000939 0.002842  0.003402  0.000770  0.099873 -41.0217661427 -185.0479190459   443.22179
PAEK 00MAY11 2000.3587 51675 1061 4  175.0  -4030 -0.350185  -4542990 -0.509696   443  0.221611  0.0002 0.000751 0.000974 0.003006 -0.012093 -0.000700  0.152095 -41.0217661319 -185.0479190338   443.22161
PAEK 00MAY12 2000.3614 51676 1061 5  175.0  -4030 -0.352302  -4542990 -0.511709   443  0.226074  0.0002 0.000771 0.001015 0.003213  0.009977  0.031721  0.169135 -41.0217661500 -185.0479190590   443.22607
PAEK 00MAY13 2000.3641 51677 1061 6  175.0  -4030 -0.351963  -4542990 -0.512030   443  0.229238  0.0002 0.000724 0.000950 0.002914 -0.027612 -0.001870  0.124494 -41.0217661529 -185.0479190550   443.22924
PAEK 00MAY14 2000.3669 51678 1062 0  175.0  -4030 -0.349349  -4542990 -0.509763   443  0.224552  0.0002 0.000733 0.000944 0.002946 -0.024785  0.017034  0.162914 -41.0217661325 -185.0479190239   443.22455
PAEK 00MAY15 2000.3696 51679 1062 1  175.0  -4030 -0.350328  -4542990 -0.513214   443  0.232557  0.0002 0.000777 0.001015 0.003183 -0.012037 -0.015571  0.145383 -41.0217661635 -185.0479190356   443.23256
PAEK 00MAY16 2000.3723 51680 1062 2  175.0  -4030 -0.353213  -4542990 -0.511388   443  0.227618  0.0002 0.000734 0.000971 0.002990  0.030210  0.041913  0.117191 -41.0217661471 -185.0479190699   443.22762
PAEK 00MAY17 2000.3751 51681 1062 3  175.0  -4030 -0.350470  -4542990 -0.511398   443  0.224472  0.0002 0.000724 0.000970 0.002905  0.017085  0.010066  0.157683 -41.0217661472 -185.0479190372   443.22447
PAEK 00MAY18 2000.3778 51682 1062 4  175.0  -4030 -0.349497  -4542990 -0.511734   443  0.225877  0.0002 0.000726 0.000972 0.002905  0.004733  0.006855  0.135032 -41.0217661502 -185.0479190257   443.22588
PAEK 00MAY19 2000.3806 51683 1062 5  175.0  -4030 -0.349662  -4542990 -0.508487   443  0.232760  0.0002 0.000731 0.000959 0.002960  0.001563  0.048009  0.126211 -41.0217661210 -185.0479190276   443.23276
PAEK 00MAY20 2000.3833 51684 1062 6  175.0  -4030 -0.346269  -4542990 -0.513006   443  0.237162  0.0002 0.000739 0.000982 0.003002  0.014743  0.008060  0.167694 -41.0217661617 -185.0479189873   443.23716
PAEK 00MAY21 2000.3860 51685 1063 0  175.0  -4030 -0.348773  -4542990 -0.511259   443  0.231146  0.0002 0.000733 0.000958 0.002966  0.019547  0.002452  0.141446 -41.0217661459 -185.0479190171   443.23115
PAEK 00MAY22 2000.3888 51686 1063 1  175.0  -4030 -0.351177  -4542990 -0.512107   443  0.231190  0.0002 0.000727 0.000980 0.002910  0.018604  0.032555  0.111085 -41.0217661536 -185.0479190456   443.23119
PAEK 00MAY23 2000.3915 51687 1063 2  175.0  -4030 -0.357433  -4542990 -0.512399   443  0.214161  0.0002 0.000747 0.001007 0.003015 -0.030692  0.012854  0.110926 -41.0217661562 -185.0479191200   443.21416
PAEK 00MAY24 2000.3943 51688 1063 3  175.0  -4030 -0.350097  -4542990 -0.510165   443  0.219190  0.0002 0.000770 0.001052 0.003184 -0.024198  0.018741  0.132306 -41.0217661361 -185.0479190328   443.21919
PAEK 00MAY25 2000.3970 51689 1063 4  175.0  -4030 -0.351770  -4542990 -0.511833   443  0.219705  0.0002 0.000755 0.001004 0.003066  0.041146  0.047613  0.208262 -41.0217661511 -185.0479190527   443.21971
PAEK 00MAY26 2000.3997 51690 1063 5  175.0  -4030 -0.352228  -4542990 -0.513611   443  0.222182  0.0002 0.000741 0.000935 0.002929 -0.001709  0.015879  0.169422 -41.0217661671 -185.0479190582   443.22218
PAEK 00MAY27 2000.4025 51691 1063 6  175.0  -4030 -0.349550  -4542990 -0.510560   443  0.225536  0.0002 0.000724 0.000924 0.002841  0.016379  0.015907  0.164131 -41.0217661396 -185.0479190263   443.22554
PAEK 00MAY28 2000.4052 51692 1064 0  175.0  -4030 -0.349862  -4542990 -0.508261   443  0.225406  0.0002 0.000754 0.000973 0.002955  0.028480  0.055680  0.139950 -41.0217661189 -185.0479190300   443.22541
PAEK 00MAY29 2000.4079 51693 1064 1  175.0  -4030 -0.353056  -4542990 -0.508700   443  0.223031  0.0002 0.000769 0.000961 0.003080  0.009068  0.012779  0.155902 -41.0217661229 -185.0479190680   443.22303
PAEK 00MAY30 2000.4107 51694 1064 2  175.0  -4030 -0.351259  -4542990 -0.517320   443  0.229876  0.0002 0.000745 0.000929 0.002917  0.001019  0.017128  0.155305 -41.0217662005 -185.0479190467   443.22988
PAEK 00MAY31 2000.4134 51695 1064 3  175.0  -4030 -0.350895  -4542990 -0.510714   443  0.228700  0.0002 0.000758 0.000934 0.002999  0.003886 -0.010323  0.155285 -41.0217661410 -185.0479190423   443.22870
PAEK 00JUN01 2000.4162 51696 1064 4  175.0  -4030 -0.355758  -4542990 -0.510353   443  0.233262  0.0002 0.000761 0.000940 0.003042 -0.005164  0.013872  0.116207 -41.0217661378 -185.0479191001   443.23326
PAEK 00JUN02 2000.4189 51697 1064 5  175.0  -4030 -0.352181  -4542990 -0.511077   443  0.232872  0.0002 0.000750 0.000948 0.003053  0.014682  0.017098  0.112646 -41.0217661443 -185.0479190576   443.23287
PAEK 00JUN06 2000.4298 51701 1065 2  175.0  -4030 -0.354927  -4542990 -0.506379   443  0.228728  0.0002 0.000734 0.000904 0.002855  0.016590  0.026376  0.115829 -41.0217661020 -185.0479190902   443.22873
PAEK 00JUN07 2000.4326 51702 1065 3  175.0  -4030 -0.352224  -4542990 -0.502365   443  0.221722  0.0002 0.000742 0.000925 0.002924 -0.010710  0.001538  0.103799 -41.0217660658 -185.0479190580   443.22172
PAEK 00JUN08 2000.4353 51703 1065 4  175.0  -4030 -0.354478  -4542990 -0.509582   443  0.220881  0.0002 0.000729 0.000941 0.002915  0.023255  0.021241  0.115526 -41.0217661308 -185.0479190849   443.22088
PAEK 00JUN09 2000.4381 51704 1065 5  175.0  -4030 -0.353324  -4542990 -0.508350   443  0.229333  0.0002 0.000782 0.000959 0.003068 -0.035755 -0.032116  0.095024 -41.0217661197 -185.0479190712   443.22933
PAEK 00JUN10 2000.4408 51705 1065 6  175.0  -4030 -0.355925  -4542990 -0.513615   443  0.239027  0.0002 0.000766 0.000945 0.003094  0.000165 -0.026413  0.146938 -41.0217661671 -185.0479191021   443.23903
PAEK 00JUN11 2000.4435 51706 1066 0  175.0  -4030 -0.356242  -4542990 -0.509102   443  0.229410  0.0002 0.000746 0.000960 0.003019  0.006839 -0.014427  0.086875 -41.0217661265 -185.0479191058   443.22941
PAEK 00JUN12 2000.4463 51707 1066 1  175.0  -4030 -0.355365  -4542990 -0.505149   443  0.224087  0.0002 0.000739 0.000929 0.002930 -0.000767  0.015446  0.102678 -41.0217660909 -185.0479190954   443.22409
PAEK 00JUN13 2000.4490 51708 1066 2  175.0  -4030 -0.357084  -4542990 -0.506196   443  0.220732  0.0002 0.000736 0.000926 0.002924 -0.022121 -0.017470  0.157822 -41.0217661003 -185.0479191158   443.22073
PAEK 00JUN14 2000.4517 51709 1066 3  175.0  -4030 -0.356727  -4542990 -0.507892   443  0.213787  0.0002 0.000731 0.000928 0.002923  0.007751 -0.015200  0.125166 -41.0217661156 -185.0479191116   443.21379
