site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
VEXA 00FEB03 2000.0903 51577 1047 4  169.9   -547 -0.674825  -4833568 -0.687776  1494  0.725634  0.1180 0.000787 0.001080 0.003413 -0.033794 -0.107301 -0.055523 -43.6377090213 -190.1067871728  1494.72563
VEXA 00FEB04 2000.0931 51578 1047 5  169.9   -547 -0.676128  -4833568 -0.686098  1494  0.725914  0.1180 0.000755 0.000994 0.003225 -0.042186 -0.130102 -0.073677 -43.6377090062 -190.1067871889  1494.72591
VEXA 00FEB05 2000.0958 51579 1047 6  169.9   -547 -0.676990  -4833568 -0.683987  1494  0.743783  0.1180 0.000772 0.001056 0.003451 -0.030007 -0.047211 -0.137876 -43.6377089872 -190.1067871996  1494.74378
VEXA 00FEB06 2000.0986 51580 1048 0  169.9   -547 -0.675998  -4833568 -0.688600  1494  0.730674  0.1180 0.000751 0.000996 0.003238 -0.027325 -0.126952 -0.063565 -43.6377090287 -190.1067871873  1494.73067
VEXA 00FEB07 2000.1013 51581 1048 1  169.9   -547 -0.676276  -4833568 -0.686137  1494  0.727600  0.1180 0.000774 0.001035 0.003324 -0.011777 -0.097472 -0.073403 -43.6377090066 -190.1067871907  1494.72760
VEXA 00FEB08 2000.1040 51582 1048 2  169.9   -547 -0.674874  -4833568 -0.682869  1494  0.737764  0.1180 0.000756 0.000991 0.003261 -0.035465 -0.150817 -0.081962 -43.6377089771 -190.1067871734  1494.73776
VEXA 00FEB09 2000.1068 51583 1048 3  169.9   -547 -0.676342  -4833568 -0.685351  1494  0.736813  0.1180 0.000768 0.001015 0.003392 -0.016037 -0.131416 -0.127220 -43.6377089995 -190.1067871916  1494.73681
VEXA 00FEB10 2000.1095 51584 1048 4  169.9   -547 -0.675164  -4833568 -0.686230  1494  0.733327  0.1180 0.000796 0.001016 0.003380 -0.066710 -0.106247 -0.076258 -43.6377090074 -190.1067871770  1494.73333
VEXA 00FEB11 2000.1123 51585 1048 5  169.9   -547 -0.676666  -4833568 -0.687072  1494  0.731839  0.1180 0.000752 0.001017 0.003288 -0.041422 -0.127354 -0.081133 -43.6377090150 -190.1067871956  1494.73184
VEXA 00FEB12 2000.1150 51586 1048 6  169.9   -547 -0.678321  -4833568 -0.681859  1494  0.737265  0.1180 0.000798 0.001051 0.003439  0.008167 -0.112186  0.013191 -43.6377089681 -190.1067872161  1494.73727
VEXA 00FEB13 2000.1177 51587 1049 0  169.9   -547 -0.674898  -4833568 -0.683533  1494  0.725036  0.1180 0.000755 0.001006 0.003280 -0.003347 -0.154047 -0.080069 -43.6377089831 -190.1067871737  1494.72504
VEXA 00FEB14 2000.1205 51588 1049 1  169.9   -547 -0.678678  -4833568 -0.679813  1494  0.731891  0.1180 0.000829 0.001082 0.003558 -0.022576 -0.040349 -0.007544 -43.6377089496 -190.1067872205  1494.73189
VEXA 00FEB15 2000.1232 51589 1049 2  169.9   -547 -0.675594  -4833568 -0.682926  1494  0.732237  0.1180 0.000793 0.001073 0.003547 -0.025736 -0.131929 -0.108355 -43.6377089777 -190.1067871823  1494.73224
VEXA 00FEB16 2000.1259 51590 1049 3  169.9   -547 -0.677257  -4833568 -0.683696  1494  0.731309  0.1180 0.000771 0.001015 0.003274 -0.021988 -0.086617 -0.080517 -43.6377089846 -190.1067872029  1494.73131
VEXA 00FEB17 2000.1287 51591 1049 4  169.9   -547 -0.674531  -4833568 -0.684156  1494  0.733965  0.1180 0.000761 0.001046 0.003286 -0.022693 -0.090478 -0.056823 -43.6377089887 -190.1067871691  1494.73397
VEXA 00FEB18 2000.1314 51592 1049 5  169.9   -547 -0.676764  -4833568 -0.687109  1494  0.728372  0.1180 0.000768 0.001002 0.003286 -0.024145 -0.119897 -0.085118 -43.6377090153 -190.1067871968  1494.72837
VEXA 00FEB19 2000.1342 51593 1049 6  169.9   -547 -0.676811  -4833568 -0.684173  1494  0.728502  0.1180 0.000777 0.001021 0.003387 -0.026525 -0.085134 -0.100331 -43.6377089889 -190.1067871974  1494.72850
VEXA 00FEB20 2000.1369 51594 1050 0  169.9   -547 -0.679671  -4833568 -0.684362  1494  0.725766  0.1180 0.000811 0.001037 0.003419 -0.058073 -0.121489 -0.063759 -43.6377089906 -190.1067872328  1494.72577
VEXA 00FEB21 2000.1396 51595 1050 1  169.9   -547 -0.674531  -4833568 -0.686372  1494  0.724767  0.1180 0.000809 0.001052 0.003488 -0.044339 -0.149898 -0.050148 -43.6377090087 -190.1067871691  1494.72477
VEXA 00FEB22 2000.1424 51596 1050 2  169.9   -547 -0.677873  -4833568 -0.683844  1494  0.728964  0.1180 0.000771 0.001012 0.003280 -0.032865 -0.139089 -0.104889 -43.6377089859 -190.1067872105  1494.72896
VEXA 00FEB23 2000.1451 51597 1050 3  169.9   -547 -0.679550  -4833568 -0.682552  1494  0.730696  0.1180 0.000779 0.001023 0.003388  0.021813 -0.161681 -0.116374 -43.6377089743 -190.1067872313  1494.73070
VEXA 00FEB24 2000.1478 51598 1050 4  169.9   -547 -0.678910  -4833568 -0.683567  1494  0.736728  0.1180 0.000766 0.001026 0.003277 -0.022318 -0.076400 -0.082097 -43.6377089834 -190.1067872234  1494.73673
VEXA 00FEB25 2000.1506 51599 1050 5  169.9   -547 -0.679067  -4833568 -0.684841  1494  0.730564  0.1180 0.000749 0.001005 0.003220 -0.034551 -0.129797 -0.099693 -43.6377089949 -190.1067872253  1494.73056
VEXA 00FEB26 2000.1533 51600 1050 6  169.9   -547 -0.680806  -4833568 -0.681906  1494  0.729944  0.1180 0.000767 0.001014 0.003296 -0.013917 -0.082129 -0.111571 -43.6377089685 -190.1067872469  1494.72994
VEXA 00FEB27 2000.1561 51601 1051 0  169.9   -547 -0.678941  -4833568 -0.679774  1494  0.730541  0.1180 0.000761 0.001011 0.003232 -0.044873 -0.105896 -0.109666 -43.6377089493 -190.1067872238  1494.73054
VEXA 00FEB28 2000.1588 51602 1051 1  169.9   -547 -0.681627  -4833568 -0.683014  1494  0.731287  0.1180 0.000786 0.001041 0.003313 -0.033327 -0.139777 -0.098945 -43.6377089785 -190.1067872570  1494.73129
VEXA 00FEB29 2000.1615 51603 1051 2  169.9   -547 -0.682069  -4833568 -0.679501  1494  0.721075  0.1180 0.000803 0.001057 0.003423 -0.059741 -0.101895 -0.131440 -43.6377089468 -190.1067872625  1494.72107
VEXA 00MAR01 2000.1643 51604 1051 3  169.9   -547 -0.682045  -4833568 -0.682093  1494  0.733000  0.1180 0.000866 0.001152 0.003855 -0.009981 -0.142459 -0.076018 -43.6377089702 -190.1067872622  1494.73300
VEXA 00MAR02 2000.1670 51605 1051 4  169.9   -547 -0.681386  -4833568 -0.682985  1494  0.733971  0.1180 0.000795 0.001053 0.003438 -0.059840 -0.120828 -0.089280 -43.6377089782 -190.1067872541  1494.73397
VEXA 00MAR03 2000.1697 51606 1051 5  169.9   -547 -0.680426  -4833568 -0.679106  1494  0.730297  0.1180 0.000789 0.001048 0.003406 -0.031448 -0.103125 -0.139169 -43.6377089433 -190.1067872422  1494.73030
